match_id,match_number,stage_id,api_stage_id,stage_name,is_group_stage,group_name,date_utc,stadium,attendance,referee,home_team,away_team,home_abbr,away_abbr,home_score,away_score,home_bookings,away_bookings
400021440,25,289273,289273,Group stage,True,Group A,2026-06-18T16:00:00Z,Atlanta Stadium,67442,Tori PENSO,Czechia,South Africa,CZE,RSA,1,1,1,2
400021441,2,289273,289273,Group stage,True,Group A,2026-06-12T02:00:00Z,Guadalajara Stadium,44985,Amin MOHAMED,Korea Republic,Czechia,KOR,CZE,2,1,1,0
400021442,28,289273,289273,Group stage,True,Group A,2026-06-19T01:00:00Z,Guadalajara Stadium,45522,Gustavo TEJERA,Mexico,Korea Republic,MEX,KOR,1,0,0,2
400021443,1,289273,289273,Group stage,True,Group A,2026-06-11T19:00:00Z,Mexico City Stadium,80824,Wilton SAMPAIO,Mexico,South Africa,MEX,RSA,2,0,2,4
400021444,53,289273,289273,Group stage,True,Group A,2026-06-25T01:00:00Z,Mexico City Stadium,80824,Yael FALCON PEREZ,Czechia,Mexico,CZE,MEX,0,3,0,1
400021445,54,289273,289273,Group stage,True,Group A,2026-06-25T01:00:00Z,Monterrey Stadium,51243,Facundo TELLO,South Africa,Korea Republic,RSA,KOR,1,0,1,1
400021446,26,289273,289273,Group stage,True,Group B,2026-06-18T19:00:00Z,Los Angeles Stadium,70026,Joao PINHEIRO,Switzerland,Bosnia and Herzegovina,SUI,BIH,4,1,1,3
400021447,8,289273,289273,Group stage,True,Group B,2026-06-13T19:00:00Z,San Francisco Bay Area Stadium,67966,Said MARTINEZ,Qatar,Switzerland,QAT,SUI,1,1,2,1
400021448,52,289273,289273,Group stage,True,Group B,2026-06-24T19:00:00Z,Seattle Stadium,66925,Jesus VALENZUELA,Bosnia and Herzegovina,Qatar,BIH,QAT,3,1,1,1
400021449,3,289273,289273,Group stage,True,Group B,2026-06-12T19:00:00Z,Toronto Stadium,43002,Facundo TELLO,Canada,Bosnia and Herzegovina,CAN,BIH,1,1,2,3
400021450,27,289273,289273,Group stage,True,Group B,2026-06-18T22:00:00Z,BC Place Vancouver,52497,Cristian GARAY,Canada,Qatar,CAN,QAT,6,0,1,3
400021451,51,289273,289273,Group stage,True,Group B,2026-06-24T19:00:00Z,BC Place Vancouver,52497,Ramon ABATTI,Switzerland,Canada,SUI,CAN,2,1,1,2
400021452,50,289273,289273,Group stage,True,Group C,2026-06-24T22:00:00Z,Atlanta Stadium,68239,Danny MAKKELIE,Morocco,Haiti,MAR,HAI,4,2,0,3
400021453,5,289273,289273,Group stage,True,Group C,2026-06-14T01:00:00Z,Boston Stadium,64146,Mustapha GHORBAL,Haiti,Scotland,HAI,SCO,0,1,1,3
400021454,30,289273,289273,Group stage,True,Group C,2026-06-19T22:00:00Z,Boston Stadium,64146,Ilgiz TANTASHEV,Scotland,Morocco,SCO,MAR,0,1,1,1
400021455,49,289273,289273,Group stage,True,Group C,2026-06-24T22:00:00Z,Miami Stadium,64478,Cesar RAMOS,Scotland,Brazil,SCO,BRA,0,3,1,2
400021456,7,289273,289273,Group stage,True,Group C,2026-06-13T22:00:00Z,New York/New Jersey Stadium,80663,Slavko VINCIC,Brazil,Morocco,BRA,MAR,1,1,2,0
400021457,29,289273,289273,Group stage,True,Group C,2026-06-20T00:30:00Z,Philadelphia Stadium,68324,Alejandro HERNANDEZ,Brazil,Haiti,BRA,HAI,3,0,1,3
400021458,4,289273,289273,Group stage,True,Group D,2026-06-13T01:00:00Z,Los Angeles Stadium,70492,Danny MAKKELIE,USA,Paraguay,USA,PAR,4,1,1,5
400021459,59,289273,289273,Group stage,True,Group D,2026-06-26T02:00:00Z,Los Angeles Stadium,70492,Mustapha GHORBAL,Türkiye,USA,TUR,USA,3,2,0,1
400021460,31,289273,289273,Group stage,True,Group D,2026-06-20T03:00:00Z,San Francisco Bay Area Stadium,68827,Ivan BARTON,Türkiye,Paraguay,TUR,PAR,0,1,2,3
400021461,60,289273,289273,Group stage,True,Group D,2026-06-26T02:00:00Z,San Francisco Bay Area Stadium,68827,Clement TURPIN,Paraguay,Australia,PAR,AUS,0,0,1,1
400021462,32,289273,289273,Group stage,True,Group D,2026-06-19T19:00:00Z,Seattle Stadium,66925,Felix ZWAYER,USA,Australia,USA,AUS,2,0,3,4
400021463,6,289273,289273,Group stage,True,Group D,2026-06-14T04:00:00Z,BC Place Vancouver,52497,Jesus VALENZUELA,Australia,Türkiye,AUS,TUR,2,0,0,1
400021464,10,289273,289273,Group stage,True,Group E,2026-06-14T17:00:00Z,Houston Stadium,68021,Jalal JAYED,Germany,Curaçao,GER,CUW,7,1,0,0
400021465,34,289273,289273,Group stage,True,Group E,2026-06-21T00:00:00Z,Kansas City Stadium,68598,MA Ning,Ecuador,Curaçao,ECU,CUW,0,0,1,5
400021466,56,289273,289273,Group stage,True,Group E,2026-06-25T20:00:00Z,New York/New Jersey Stadium,80663,Tori PENSO,Ecuador,Germany,ECU,GER,2,1,3,1
400021467,9,289273,289273,Group stage,True,Group E,2026-06-14T23:00:00Z,Philadelphia Stadium,68274,Francois LETEXIER,Côte d'Ivoire,Ecuador,CIV,ECU,1,0,3,1
400021468,55,289273,289273,Group stage,True,Group E,2026-06-25T20:00:00Z,Philadelphia Stadium,68324,Glenn NYBERG,Curaçao,Côte d'Ivoire,CUW,CIV,0,2,2,1
400021469,33,289273,289273,Group stage,True,Group E,2026-06-20T20:00:00Z,Toronto Stadium,43036,Juan Gabriel BENITEZ,Germany,Côte d'Ivoire,GER,CIV,2,1,0,0
400021470,11,289273,289273,Group stage,True,Group F,2026-06-14T20:00:00Z,Dallas Stadium,69285,Ismail ELFATH,Netherlands,Japan,NED,JPN,2,2,3,0
400021471,57,289273,289273,Group stage,True,Group F,2026-06-25T23:00:00Z,Dallas Stadium,70137,Ivan BARTON,Japan,Sweden,JPN,SWE,1,1,1,2
400021472,35,289273,289273,Group stage,True,Group F,2026-06-20T17:00:00Z,Houston Stadium,68777,Michael OLIVER,Netherlands,Sweden,NED,SWE,5,1,0,3
400021473,58,289273,289273,Group stage,True,Group F,2026-06-25T23:00:00Z,Kansas City Stadium,68391,Katia GARCIA,Tunisia,Netherlands,TUN,NED,1,3,0,0
400021474,12,289273,289273,Group stage,True,Group F,2026-06-15T02:00:00Z,Monterrey Stadium,50987,Yael FALCON PEREZ,Sweden,Tunisia,SWE,TUN,5,1,0,1
400021475,36,289273,289273,Group stage,True,Group F,2026-06-21T04:00:00Z,Monterrey Stadium,51243,Istvan KOVACS,Tunisia,Japan,TUN,JPN,0,4,0,0
