team,confederation,region,is_uefa
Algeria,CAF,Africa,False
Argentina,CONMEBOL,South America,False
Australia,AFC,Asia,False
Austria,UEFA,Europe,True
Belgium,UEFA,Europe,True
Bosnia and Herzegovina,UEFA,Europe,True
Brazil,CONMEBOL,South America,False
Cabo Verde,CAF,Africa,False
Canada,CONCACAF,North/Central America & Caribbean,False
Colombia,CONMEBOL,South America,False
Congo DR,CAF,Africa,False
Croatia,UEFA,Europe,True
Curaçao,CONCACAF,North/Central America & Caribbean,False
Czechia,UEFA,Europe,True
Côte d'Ivoire,CAF,Africa,False
Ecuador,CONMEBOL,South America,False
Egypt,CAF,Africa,False
England,UEFA,Europe,True
France,UEFA,Europe,True
Germany,UEFA,Europe,True
Ghana,CAF,Africa,False
Haiti,CONCACAF,North/Central America & Caribbean,False
IR Iran,AFC,Asia,False
Iraq,AFC,Asia,False
Japan,AFC,Asia,False
Jordan,AFC,Asia,False
Korea Republic,AFC,Asia,False
Mexico,CONCACAF,North/Central America & Caribbean,False
Morocco,CAF,Africa,False
Netherlands,UEFA,Europe,True
New Zealand,OFC,Oceania,False
Norway,UEFA,Europe,True
Panama,CONCACAF,North/Central America & Caribbean,False
Paraguay,CONMEBOL,South America,False
Portugal,UEFA,Europe,True
Qatar,AFC,Asia,False
Saudi Arabia,AFC,Asia,False
Scotland,UEFA,Europe,True
Senegal,CAF,Africa,False
South Africa,CAF,Africa,False
Spain,UEFA,Europe,True
Sweden,UEFA,Europe,True
Switzerland,UEFA,Europe,True
Tunisia,CAF,Africa,False
Türkiye,UEFA,Europe,True
USA,CONCACAF,North/Central America & Caribbean,False
Uruguay,CONMEBOL,South America,False
Uzbekistan,AFC,Asia,False
