match_id,stage_id,stage_name,is_group_stage,group_name,date_utc,referee,attendance,side,team,opponent,score,opponent_score,possession_pct,fouls,yellow_cards,red_cards,shots,shots_on_target,passes,passes_completed,corners,offsides,possession_contested_pct,goals_for,goals_against,Goal: Inside the Penalty Area,Goal: Outside the Penalty Area,assists,Attempts at Goal: Off Target,Attempts at Goal: Inside the Penalty Area,Attempts at Goal: Outside the Penalty Area,Final Third Entries: Left Channel,Final Third Entries: Left Inside Channel,Final Third Entries: Central Channel,Final Third Entries: Right Inside Channel,Final Third Entries: Right Channel,Offers to Receive: Total,Offers to Receive: In Behind,Offers to Receive: In Between,Offers to Receive: In Front,Offers to Receive: Receptions Between Midfield and Defensive Lines,Offers to Receive: Receptions Behind the Defensive Line,Line Breaks: Attempted Line Breaks,Line Breaks: Completed Line Breaks,Line Breaks: Attempted Defensive Line Breaks,Line Breaks: Completed Defensive Line Breaks,Distribution: Crosses,Distribution: Crosses Completed,Distribution: Switches of Play Completed,Set Plays: Free Kicks,Set Plays: Penalties Scored,Defending: Own Goals,Defending: Forced Turnovers,Defending: Pressing Applied
400021440,289273,Group stage,True,Group A,2026-06-18T16:00:00Z,Tori PENSO,67442,away,South Africa,Czechia,1,1,60.0,10.0,2.0,0.0,17.0,4.0,584.0,518.0,5.0,3.0,8.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,11.0,14.0,8.0,7.0,10.0,15.0,472.0,138.0,181.0,153.0,95.0,8.0,193.0,127.0,14.0,8.0,16.0,3.0,6.0,13.0,1.0,0.0,44.0,233.0
400021440,289273,Group stage,True,Group A,2026-06-18T16:00:00Z,Tori PENSO,67442,home,Czechia,South Africa,1,1,32.0,12.0,1.0,0.0,14.0,3.0,352.0,279.0,5.0,2.0,8.0,1.0,1.0,1.0,0.0,1.0,5.0,11.0,3.0,18.0,7.0,7.0,3.0,7.0,261.0,76.0,119.0,66.0,89.0,7.0,174.0,105.0,17.0,6.0,15.0,8.0,4.0,13.0,0.0,0.0,41.0,343.0
400021441,289273,Group stage,True,Group A,2026-06-12T02:00:00Z,Amin MOHAMED,44985,away,Czechia,Korea Republic,1,2,34.0,16.0,0.0,0.0,7.0,4.0,327.0,241.0,5.0,2.0,11.0,1.0,2.0,1.0,0.0,1.0,2.0,5.0,2.0,7.0,5.0,8.0,7.0,11.0,197.0,82.0,66.0,49.0,86.0,5.0,150.0,61.0,13.0,5.0,15.0,4.0,2.0,11.0,0.0,0.0,40.0,301.0
400021441,289273,Group stage,True,Group A,2026-06-12T02:00:00Z,Amin MOHAMED,44985,home,Korea Republic,Czechia,2,1,55.0,9.0,1.0,0.0,15.0,6.0,542.0,483.0,4.0,2.0,11.0,2.0,1.0,2.0,0.0,2.0,6.0,10.0,5.0,13.0,8.0,8.0,14.0,15.0,386.0,89.0,123.0,174.0,96.0,14.0,161.0,106.0,20.0,10.0,17.0,6.0,5.0,18.0,0.0,0.0,30.0,147.0
400021442,289273,Group stage,True,Group A,2026-06-19T01:00:00Z,Gustavo TEJERA,45522,away,Korea Republic,Mexico,0,1,51.0,7.0,2.0,0.0,9.0,2.0,593.0,510.0,2.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,3.0,16.0,4.0,5.0,3.0,13.0,381.0,79.0,126.0,176.0,73.0,10.0,182.0,92.0,21.0,9.0,8.0,4.0,4.0,12.0,0.0,0.0,48.0,217.0
400021442,289273,Group stage,True,Group A,2026-06-19T01:00:00Z,Gustavo TEJERA,45522,home,Mexico,Korea Republic,1,0,40.0,9.0,0.0,0.0,8.0,4.0,432.0,360.0,0.0,3.0,9.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,3.0,11.0,3.0,7.0,2.0,3.0,456.0,115.0,192.0,149.0,84.0,4.0,173.0,90.0,19.0,4.0,5.0,3.0,1.0,13.0,0.0,0.0,46.0,265.0
400021443,289273,Group stage,True,Group A,2026-06-11T19:00:00Z,Wilton SAMPAIO,80824,away,South Africa,Mexico,0,2,36.0,11.0,2.0,2.0,3.0,2.0,351.0,290.0,1.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,4.0,3.0,2.0,11.0,247.0,60.0,85.0,102.0,38.0,5.0,130.0,70.0,12.0,3.0,8.0,0.0,6.0,13.0,0.0,0.0,32.0,306.0
400021443,289273,Group stage,True,Group A,2026-06-11T19:00:00Z,Wilton SAMPAIO,80824,home,Mexico,South Africa,2,0,57.0,12.0,1.0,1.0,16.0,4.0,547.0,495.0,3.0,1.0,8.0,2.0,0.0,2.0,0.0,2.0,8.0,9.0,7.0,16.0,7.0,7.0,7.0,12.0,424.0,97.0,179.0,148.0,116.0,11.0,170.0,121.0,19.0,10.0,13.0,3.0,8.0,12.0,0.0,0.0,31.0,170.0
400021444,289273,Group stage,True,Group A,2026-06-25T01:00:00Z,Yael FALCON PEREZ,80824,away,Mexico,Czechia,3,0,46.0,13.0,1.0,0.0,11.0,5.0,394.0,340.0,1.0,0.0,100.0,3.0,0.0,3.0,0.0,3.0,4.0,9.0,2.0,11.0,3.0,11.0,3.0,15.0,444.0,109.0,199.0,136.0,95.0,6.0,142.0,85.0,14.0,5.0,14.0,2.0,4.0,10.0,0.0,0.0,35.0,233.0
400021444,289273,Group stage,True,Group A,2026-06-25T01:00:00Z,Yael FALCON PEREZ,80824,home,Czechia,Mexico,0,3,44.0,9.0,0.0,0.0,13.0,1.0,423.0,352.0,5.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,8.0,6.0,7.0,13.0,5.0,10.0,1.0,17.0,282.0,74.0,120.0,88.0,70.0,7.0,163.0,100.0,15.0,6.0,20.0,4.0,3.0,13.0,0.0,0.0,38.0,213.0
400021445,289273,Group stage,True,Group A,2026-06-25T01:00:00Z,Facundo TELLO,51243,away,Korea Republic,South Africa,0,1,60.0,9.0,1.0,0.0,8.0,3.0,718.0,657.0,6.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,3.0,33.0,5.0,8.0,7.0,29.0,434.0,99.0,178.0,157.0,105.0,16.0,184.0,145.0,24.0,20.0,39.0,8.0,9.0,10.0,0.0,0.0,28.0,199.0
400021445,289273,Group stage,True,Group A,2026-06-25T01:00:00Z,Facundo TELLO,51243,home,South Africa,Korea Republic,1,0,30.0,7.0,1.0,0.0,13.0,4.0,345.0,279.0,4.0,3.0,10.0,1.0,0.0,1.0,0.0,1.0,7.0,5.0,8.0,9.0,3.0,7.0,9.0,7.0,189.0,58.0,88.0,43.0,74.0,3.0,154.0,83.0,12.0,2.0,7.0,1.0,5.0,9.0,0.0,0.0,40.0,321.0
400021446,289273,Group stage,True,Group B,2026-06-18T19:00:00Z,Joao PINHEIRO,70026,away,Bosnia and Herzegovina,Switzerland,1,4,34.0,17.0,2.0,1.0,5.0,3.0,359.0,289.0,3.0,1.0,10.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,17.0,2.0,2.0,1.0,5.0,205.0,49.0,82.0,74.0,57.0,5.0,155.0,77.0,16.0,6.0,14.0,1.0,3.0,10.0,0.0,0.0,42.0,339.0
400021446,289273,Group stage,True,Group B,2026-06-18T19:00:00Z,Joao PINHEIRO,70026,home,Switzerland,Bosnia and Herzegovina,4,1,57.0,7.0,1.0,0.0,13.0,7.0,601.0,531.0,7.0,3.0,10.0,4.0,1.0,4.0,0.0,2.0,6.0,9.0,4.0,29.0,14.0,9.0,6.0,10.0,464.0,147.0,173.0,144.0,109.0,18.0,206.0,136.0,27.0,18.0,24.0,1.0,6.0,18.0,1.0,0.0,46.0,234.0
400021447,289273,Group stage,True,Group B,2026-06-13T19:00:00Z,Said MARTINEZ,67966,away,Switzerland,Qatar,1,1,58.0,11.0,1.0,0.0,26.0,7.0,591.0,542.0,10.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,10.0,18.0,8.0,30.0,13.0,17.0,6.0,28.0,325.0,118.0,117.0,90.0,143.0,20.0,189.0,144.0,30.0,17.0,34.0,7.0,5.0,11.0,1.0,1.0,42.0,165.0
400021447,289273,Group stage,True,Group B,2026-06-13T19:00:00Z,Said MARTINEZ,67966,home,Qatar,Switzerland,1,1,28.0,12.0,2.0,0.0,6.0,3.0,289.0,213.0,3.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,11.0,4.0,2.0,0.0,8.0,216.0,61.0,95.0,60.0,47.0,5.0,150.0,68.0,16.0,2.0,8.0,1.0,4.0,12.0,0.0,0.0,36.0,294.0
400021448,289273,Group stage,True,Group B,2026-06-24T19:00:00Z,Jesus VALENZUELA,66925,away,Qatar,Bosnia and Herzegovina,1,3,42.0,14.0,1.0,0.0,9.0,3.0,457.0,388.0,5.0,3.0,10.0,1.0,3.0,1.0,0.0,1.0,6.0,5.0,4.0,16.0,3.0,6.0,8.0,9.0,333.0,83.0,149.0,101.0,73.0,14.0,209.0,113.0,38.0,14.0,18.0,8.0,6.0,10.0,0.0,1.0,42.0,264.0
