date,round,Player,Team,opponent,minutes,shots_on_target_against,goals_against,saves,save_pct,advanced_to_knockout
2026-06-16,Group stage,Yazeed Abulaila,Jordan,at Austria,90,4.0,3,1.0,25.0,False
2026-06-22,Group stage,Yazeed Abulaila,Jordan,dz Algeria,90,8.0,2,6.0,75.0,False
2026-06-27,Group stage,Yazeed Abulaila,Jordan,ar Argentina,90,4.0,3,1.0,25.0,False
2026-06-13,Group stage,Mahmoud Abunada,Qatar,ch Switzerland,90,6.0,1,5.0,83.3,False
2026-06-18,Group stage,Mahmoud Abunada,Qatar,ca Canada,90,10.0,6,4.0,40.0,False
2026-06-24,Group stage,Mahmoud Abunada,Qatar,ba Bosnia-Herz,90,6.0,3,3.0,50.0,False
2026-06-13,Group stage,Alisson,Brazil,ma Morocco,90,3.0,1,2.0,66.7,True
2026-06-19,Group stage,Alisson,Brazil,ht Haiti,90,3.0,0,3.0,100.0,True
2026-06-24,Group stage,Alisson,Brazil,sct Scotland,90,5.0,0,5.0,100.0,True
2026-06-29,Round of 32,Alisson,Brazil,jp Japan,90,2.0,1,1.0,50.0,True
2026-07-05,Round of 16,Alisson,Brazil,no Norway,90,5.0,2,3.0,60.0,True
2026-06-17,Group stage,Benjamin Asare,Ghana,pa Panama,45,3.0,0,3.0,100.0,True
2026-06-23,Group stage,Benjamin Asare,Ghana,eng England,90,3.0,0,3.0,100.0,True
2026-06-27,Group stage,Benjamin Asare,Ghana,hr Croatia,90,4.0,2,2.0,50.0,True
2026-06-17,Group stage,Lawrence Ati-Zigi,Ghana,pa Panama,45,1.0,0,1.0,100.0,True
2026-07-03,Round of 32,Lawrence Ati-Zigi,Ghana,co Colombia,90,8.0,1,7.0,87.5,True
2026-06-22,Group stage,Ahmed Basil,Iraq,fr France,90,5.0,3,2.0,40.0,False
2026-06-26,Group stage,Ahmed Basil,Iraq,sn Senegal,45,2.0,1,1.0,50.0,False
2026-06-13,Group stage,Patrick Beach,Australia,tr Turkiye,90,8.0,0,8.0,100.0,True
2026-06-19,Group stage,Patrick Beach,Australia,us USA,90,3.0,2,1.0,33.3,True
2026-06-25,Group stage,Patrick Beach,Australia,py Paraguay,90,2.0,0,2.0,100.0,True
2026-07-03,Round of 32,Patrick Beach,Australia,eg Egypt,118,4.0,1,3.0,75.0,True
2026-06-15,Group stage,Alireza Beiranvand,IR Iran,nz New Zealand,90,8.0,2,6.0,75.0,False
2026-06-21,Group stage,Alireza Beiranvand,IR Iran,be Belgium,90,7.0,0,7.0,100.0,False
2026-06-26,Group stage,Alireza Beiranvand,IR Iran,eg Egypt,90,3.0,1,2.0,66.7,False
2026-06-27,Group stage,Oussama Benbot,Algeria,at Austria,90,3.0,3,0.0,0.0,True
2026-06-13,Group stage,Yassine Bounou,Morocco,br Brazil,90,5.0,1,4.0,80.0,True
2026-06-19,Group stage,Yassine Bounou,Morocco,sct Scotland,90,0.0,0,0.0,,True
2026-06-24,Group stage,Yassine Bounou,Morocco,ht Haiti,90,3.0,2,1.0,33.3,True
2026-06-29,Round of 32,Yassine Bounou,Morocco,nl Netherlands,120,2.0,1,1.0,50.0,True
2026-07-04,Round of 16,Yassine Bounou,Morocco,ca Canada,90,3.0,0,3.0,100.0,True
2026-07-09,Quarter-finals,Yassine Bounou,Morocco,fr France,90,7.0,2,5.0,71.4,True
2026-06-13,Group stage,Ugurcan Cakir,Turkiye,au Australia,90,4.0,2,2.0,50.0,False
2026-06-19,Group stage,Ugurcan Cakir,Turkiye,py Paraguay,90,2.0,1,1.0,50.0,False
2026-06-25,Group stage,Ugurcan Cakir,Turkiye,us USA,90,7.0,2,5.0,71.4,False
2026-06-14,Group stage,Mouhib Chamakh,Tunisia,se Sweden,90,6.0,5,1.0,16.7,False
2026-06-17,Group stage,Diogo Costa,Portugal,cd Congo DR,90,2.0,1,1.0,50.0,True
2026-06-23,Group stage,Diogo Costa,Portugal,uz Uzbekistan,90,2.0,0,2.0,100.0,True
2026-06-27,Group stage,Diogo Costa,Portugal,co Colombia,90,6.0,0,6.0,100.0,True
2026-07-02,Round of 32,Diogo Costa,Portugal,hr Croatia,90,6.0,1,5.0,83.3,True
2026-07-06,Round of 16,Diogo Costa,Portugal,es Spain,90,6.0,1,5.0,83.3,True
2026-06-15,Group stage,Thibaut Courtois,Belgium,eg Egypt,90,3.0,1,2.0,66.7,True
2026-06-21,Group stage,Thibaut Courtois,Belgium,ir IR Iran,90,3.0,0,3.0,100.0,True
2026-06-26,Group stage,Thibaut Courtois,Belgium,nz New Zealand,90,2.0,1,1.0,50.0,True
2026-07-01,Round of 32,Thibaut Courtois,Belgium,sn Senegal,120,5.0,2,3.0,60.0,True
2026-07-06,Round of 16,Thibaut Courtois,Belgium,us USA,90,2.0,1,1.0,50.0,True
2026-07-10,Quarter-finals,Thibaut Courtois,Belgium,es Spain,70,5.0,1,4.0,80.0,True
2026-06-12,Group stage,Maxime Crepeau,Canada,ba Bosnia-Herz,90,3.0,1,2.0,66.7,True
2026-06-18,Group stage,Maxime Crepeau,Canada,qa Qatar,90,0.0,0,0.0,,True
2026-06-24,Group stage,Maxime Crepeau,Canada,ch Switzerland,90,4.0,2,2.0,50.0,True
2026-06-28,Round of 32,Maxime Crepeau,Canada,za South Africa,90,1.0,0,1.0,100.0,True
2026-07-04,Round of 16,Maxime Crepeau,Canada,ma Morocco,90,4.0,3,1.0,25.0,True
2026-06-15,Group stage,Max Crocombe,New Zealand,ir IR Iran,90,4.0,2,2.0,50.0,False
2026-06-21,Group stage,Max Crocombe,New Zealand,eg Egypt,90,7.0,3,4.0,57.1,False
2026-06-26,Group stage,Max Crocombe,New Zealand,be Belgium,90,10.0,5,5.0,50.0,False
2026-06-20,Group stage,Aymen Dahmen,Tunisia,jp Japan,90,5.0,4,1.0,20.0,False
2026-06-25,Group stage,Aymen Dahmen,Tunisia,nl Netherlands,90,7.0,3,4.0,57.1,False
2026-06-22,Group stage,Mory Diaw,Senegal,no Norway,28,0.0,0,0.0,,True
2026-06-26,Group stage,Mory Diaw,Senegal,iq Iraq,90,1.0,0,1.0,100.0,True
2026-07-01,Round of 32,Mory Diaw,Senegal,be Belgium,120,6.0,3,3.0,50.0,True
2026-06-14,Group stage,Yahia Fofana,Cote d'Ivoire,ec Ecuador,90,1.0,0,1.0,100.0,True
2026-06-20,Group stage,Yahia Fofana,Cote d'Ivoire,de Germany,90,7.0,2,5.0,71.4,True
2026-06-25,Group stage,Yahia Fofana,Cote d'Ivoire,cw Curacao,90,2.0,0,2.0,100.0,True
2026-06-30,Round of 32,Yahia Fofana,Cote d'Ivoire,no Norway,90,3.0,2,1.0,33.3,True
2026-06-12,Group stage,Matt Freese,United States,py Paraguay,90,1.0,1,0.0,0.0,True
2026-06-19,Group stage,Matt Freese,United States,au Australia,90,2.0,0,2.0,100.0,True
2026-07-01,Round of 32,Matt Freese,United States,ba Bosnia-Herz,90,3.0,0,3.0,100.0,True
2026-07-06,Round of 16,Matt Freese,United States,be Belgium,90,7.0,4,3.0,42.9,True
2026-06-14,Group stage,Hernan Galindez,Ecuador,ci Cote d'Ivoire,90,4.0,1,3.0,75.0,True
2026-06-20,Group stage,Hernan Galindez,Ecuador,cw Curacao,90,3.0,0,3.0,100.0,True
2026-06-25,Group stage,Hernan Galindez,Ecuador,de Germany,90,3.0,1,2.0,66.7,True
2026-06-30,Round of 32,Hernan Galindez,Ecuador,mx Mexico,90,3.0,2,1.0,33.3,True
