Rank,Player,Team,Position,Goals,Assists,Minutes,Assists_per_90
1,Kylian Mbappe,FRA,FW,10,4,769,0.4681404421326398
2,Lionel Messi,ARG,FW,8,4,853,0.42203985932004684
3,Jude Bellingham,ENG,MF,7,1,698,0.12893982808022922
4,Erling Haaland,NOR,FW,7,0,537,0.0
5,Ousmane Dembele,FRA,FW,6,2,648,0.2777777777777778
6,Harry Kane,ENG,FW,6,1,732,0.12295081967213115
7,Mikel Oyarzabal,ESP,FW,5,1,664,0.13554216867469882
8,Ismaila Sarr,SEN,FW,4,1,419,0.21479713603818618
9,Julian Quinones,MEX,FW,4,1,440,0.20454545454545453
10,Vinicius Junior,BRA,FW,4,1,505,0.1782178217821782
11,Bukayo Saka,ENG,FW,3,3,411,0.656934306569343
12,Deniz Undav,GER,FW,3,2,174,1.0344827586206897
13,Johan Manzambi,SUI,MF,3,2,220,0.8181818181818181
14,Romelu Lukaku,BEL,FW,3,1,279,0.3225806451612903
15,Lautaro Martinez,ARG,FW,3,1,368,0.24456521739130435
16,Charles De Ketelaere,BEL,FW,3,1,385,0.23376623376623376
17,Cody Gakpo,NED,FW,3,1,394,0.22842639593908629
18,Bradley Barcola,FRA,FW,3,1,432,0.20833333333333331
19,Brian Brobbey,NED,FW,3,0,245,0.0
20,Elijah Just,NZL,MF,3,0,291,0.0
21,Matheus Cunha,BRA,FW,3,0,324,0.0
22,Folarin Balogun,USA,FW,3,0,348,0.0
23,Raul Jimenez,MEX,FW,3,0,348,0.0
24,Kai Havertz,GER,FW,3,0,392,0.0
25,Yoane Wissa,COD,FW,3,0,409,0.0
26,Ismael Saibari,MAR,MF,3,0,411,0.0
27,Jonathan David,CAN,FW,3,0,475,0.0
28,Cristiano Ronaldo,POR,FW,3,0,490,0.0
29,Crysencio Summerville,NED,FW,2,2,282,0.6382978723404256
30,Breel Embolo,SUI,FW,2,2,531,0.3389830508474576
31,Leandro Trossard,BEL,FW,2,2,561,0.32085561497326204
32,Soufiane Rahimi,MAR,FW,2,1,215,0.41860465116279066
33,Nicolas Pepe,CIV,FW,2,1,255,0.3529411764705882
34,Pape Gueye,SEN,MF,2,1,257,0.35019455252918286
35,Maxi Araujo,URU,MF,2,1,278,0.32374100719424465
36,Riyad Mahrez,ALG,FW,2,1,288,0.3125
38,Ruben Vargas,SUI,FW,2,1,314,0.28662420382165604
39,Ayase Ueda,JPN,FW,2,1,349,0.25787965616045844
40,Mostafa Zico,EGY,MF,2,1,398,0.22613065326633167
41,Malik Tillman,USA,MF,2,1,415,0.2168674698795181
43,Habib Diarra,SEN,MF,2,0,168,0.0
44,Marko Arnautovic,AUT,FW,2,0,173,0.0
45,Amad Diallo,CIV,FW,2,0,211,0.0
46,Cyle Larin,CAN,FW,2,0,224,0.0
47,Anthony Elanga,SWE,FW,2,0,247,0.0
48,Mikel Merino,ESP,MF,2,0,262,0.0
49,Daichi Kamada,JPN,MF,2,0,359,0.0
50,Yasin Ayari,SWE,MF,2,0,371,0.0
